92,            National defense,645.4,659.7,670.3,678.1,690.2,702.4,709.8,719.9,721.5,719.5
93,            Nondefense,427.3,431.5,436,437.6,439.4,448.3,450.9,453.1,454.3,505.8
94,        Government enterprises,92.9,92.6,91.6,92.2,91.3,91,90.8,91.4,92.9,92.7
95,    State and local,2714.9,2746.1,2777.9,2801.7,2807.4,2834.8,2852.6,2873,2872.7,2727
96,        General government,2360.1,2388,2417.1,2437.2,2440.6,2463.4,2479,2497.9,2499.9,2380.9
97,        Government enterprises,354.8,358.2,360.9,364.5,366.8,371.4,373.5,375.1,372.8,346
,    Addenda:,,,,,,,,,,
98,            Private goods-producing industries1,8721.7,8892.3,9029.4,9031.1,8989.1,9010.3,8966.9,8960,8869.9,7789
99,            Private services-producing industries2,23236.4,23630.8,23911.5,24164.6,24360.5,24622.1,24920.1,25092.4,24815.5,22426.1
100,            Information-communications-technology-producing industries3,---,---,---,---,---,---,---,---,---,---
Legend / Footnotes:,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,
Note. Detail may not add to total due to rounding.,,,,,,,,,,,
